iter	Logloss
0	0.6778194154
1	0.6622370179
2	0.6487780286
3	0.6367098647
4	0.6245696672
5	0.6135776282
6	0.6029219973
7	0.5941757952
8	0.5840302906
9	0.5750255562
10	0.5659225972
11	0.5586638508
12	0.5512081239
13	0.5437800384
14	0.5372487283
15	0.5313107303
16	0.5257898203
17	0.5204829787
18	0.515552684
19	0.5109130142
20	0.5062650757
21	0.5025398315
22	0.4983657678
23	0.4948639072
24	0.4911231829
25	0.4875641046
26	0.4842557399
27	0.4805715183
28	0.4775701006
29	0.4744552219
30	0.4717881106
31	0.4692226954
32	0.4667581208
33	0.4642242058
34	0.4623793015
35	0.4599457268
36	0.4580460714
37	0.4561033262
38	0.4543180182
39	0.45209979
40	0.4504595169
41	0.4485870405
42	0.4469305974
43	0.4453918829
44	0.4439259001
45	0.4424964222
46	0.4408970191
47	0.4394130833
48	0.4384221961
49	0.4373361301
50	0.4360707833
51	0.4347860114
52	0.4336803009
53	0.4328023807
54	0.431867792
55	0.4306495529
56	0.4295090182
57	0.4286562152
58	0.427685542
59	0.4267461375
60	0.4260142638
61	0.4252226426
62	0.4246257793
63	0.4238625218
64	0.4229344523
65	0.4222683148
66	0.4215747273
67	0.420876907
68	0.4202498605
69	0.4196165971
70	0.4188508948
71	0.4181209656
72	0.4175190422
73	0.4169379333
74	0.4165804402
75	0.4160295146
76	0.4156088396
77	0.4153292631
78	0.4147411389
79	0.4142768324
80	0.4138563211
81	0.4133825392
82	0.4129083334
83	0.4123749434
84	0.4118726548
85	0.4114733025
86	0.4110188598
87	0.4107143092
88	0.4102827976
89	0.4097727645
90	0.4093641201
91	0.4088742456
92	0.4084732252
93	0.4081056048
94	0.4076334156
95	0.407351008
96	0.407011231
97	0.4065991374
98	0.4062460108
99	0.4058395482
100	0.4054611193
101	0.405174284
102	0.4049302425
103	0.4045786941
104	0.4042811708
105	0.4040115188
106	0.4037980425
107	0.4034278758
108	0.4030472416
109	0.4027507159
110	0.4025684249
111	0.4022480877
112	0.4019284503
113	0.4017420215
114	0.4015172855
115	0.4012163489
116	0.4010263521
117	0.4007250201
118	0.4003483073
119	0.4001186468
120	0.3998852958
121	0.3996480015
122	0.3994663925
123	0.3992535304
124	0.3990457619
125	0.3987594022
126	0.3985109655
127	0.3983356746
128	0.3981254849
129	0.3979024705
130	0.3976468179
131	0.3974235732
132	0.3971305617
133	0.3968988685
134	0.396621965
135	0.3964214637
136	0.396219574
137	0.396063017
138	0.3957536799
139	0.3956099971
140	0.3953790593
141	0.3951906398
142	0.3948980447
143	0.3946497069
144	0.3944897268
145	0.3942580571
146	0.3939843363
147	0.3938135735
148	0.3936492793
149	0.3935378634
150	0.3932585521
151	0.3930897924
152	0.3928764189
153	0.3927360107
154	0.3925443903
155	0.3924094492
156	0.3921003895
157	0.3919263811
158	0.3918864104
159	0.3916987004
160	0.3915021316
161	0.3912747546
162	0.3911179376
163	0.3909545119
164	0.3907209286
165	0.3905128353
166	0.3903411562
167	0.3901968318
168	0.3900270762
169	0.3898291578
170	0.3896974017
171	0.3895470327
172	0.3893418178
173	0.3892647159
174	0.3890559359
175	0.3888739627
176	0.3887226102
177	0.3885675358
178	0.3885547957
179	0.3883723254
180	0.3882363509
181	0.3881046454
182	0.3879164637
183	0.3878073729
184	0.3876622582
185	0.3875138242
186	0.3873378266
187	0.3872000566
188	0.3870434947
189	0.3869416035
190	0.3868339749
191	0.3866918978
192	0.3866586657
193	0.3864577865
194	0.3863108506
195	0.3860972489
196	0.3859156687
