iter	Passed	Remaining
0	5	5918
1	10	5479
2	15	5201
3	20	5214
4	25	5129
5	29	4960
6	34	4886
7	38	4827
8	43	4776
9	48	4772
10	52	4760
11	57	4694
12	60	4600
13	64	4524
14	68	4470
15	71	4427
16	75	4372
17	79	4316
18	83	4291
19	87	4280
20	91	4251
21	95	4226
22	99	4205
23	103	4207
24	107	4176
25	111	4160
26	114	4136
27	118	4128
28	122	4102
29	126	4080
30	130	4069
31	134	4067
32	137	4029
33	141	4012
34	144	3996
35	149	3990
36	152	3978
37	156	3960
38	160	3946
39	163	3934
40	167	3925
41	171	3910
42	175	3895
43	178	3884
44	182	3878
45	186	3867
46	190	3854
47	193	3842
48	197	3835
49	201	3825
50	204	3813
51	208	3803
52	212	3796
53	216	3788
54	219	3777
55	223	3766
56	227	3756
57	231	3758
58	235	3750
59	238	3743
60	242	3736
61	247	3743
62	251	3737
63	255	3731
64	259	3726
65	263	3726
66	267	3718
67	270	3707
68	274	3699
69	278	3699
70	282	3694
71	286	3688
72	289	3679
73	293	3677
74	297	3669
75	301	3661
76	305	3659
77	308	3642
78	312	3638
79	315	3631
80	319	3624
81	323	3617
82	327	3616
83	331	3610
84	335	3610
85	339	3608
86	343	3603
87	346	3595
88	350	3590
89	354	3582
90	358	3579
91	362	3573
92	365	3566
93	369	3560
94	373	3559
95	377	3553
96	381	3548
97	384	3542
98	388	3538
99	392	3532
100	396	3526
101	400	3522
102	403	3516
103	407	3512
104	411	3505
105	414	3499
106	418	3494
107	423	3494
108	426	3487
109	430	3481
110	434	3476
111	438	3477
112	442	3471
113	445	3464
114	449	3457
115	453	3454
116	456	3448
117	460	3443
118	464	3436
119	467	3431
120	471	3427
121	475	3423
122	479	3417
123	482	3411
124	487	3409
125	490	3404
126	494	3400
127	498	3398
128	503	3397
129	506	3390
130	510	3384
131	514	3381
132	518	3380
133	522	3374
134	525	3369
135	529	3363
136	533	3360
137	537	3356
138	541	3352
139	545	3348
140	548	3344
141	552	3341
142	556	3337
143	560	3334
144	565	3332
145	569	3328
146	573	3325
147	576	3320
148	580	3317
149	584	3313
150	588	3309
151	592	3306
152	596	3302
153	600	3298
154	604	3293
155	607	3288
156	612	3286
157	615	3281
158	618	3272
159	622	3267
160	625	3261
161	630	3259
162	633	3254
163	637	3249
164	641	3244
165	645	3240
166	648	3237
167	652	3231
168	656	3225
169	659	3221
170	663	3218
171	667	3214
172	671	3209
173	674	3203
174	679	3203
175	683	3197
176	686	3193
177	690	3188
178	692	3178
179	696	3174
180	700	3169
181	704	3164
182	707	3159
183	711	3157
184	715	3152
185	719	3147
186	722	3143
187	727	3141
188	730	3136
189	734	3132
190	738	3127
191	742	3125
192	745	3119
193	749	3115
194	753	3112
195	758	3110
196	762	3107
197	766	3104
198	770	3101
199	774	3098
200	778	3093
201	782	3089
202	785	3085
203	789	3081
204	793	3077
205	797	3072
206	800	3068
207	805	3066
208	809	3062
209	813	3059
210	816	3054
211	821	3052
212	825	3048
213	829	3046
214	833	3042
215	837	3039
216	841	3035
217	845	3031
218	848	3026
219	852	3023
220	856	3018
221	860	3015
222	863	3010
223	866	3002
224	870	2999
225	874	2995
226	878	2991
227	882	2987
228	886	2985
229	890	2981
230	894	2976
231	898	2972
232	902	2971
233	906	2968
234	910	2964
235	914	2959
236	932	3003
237	943	3020
238	950	3027
239	956	3029
240	961	3028
241	967	3029
242	971	3025
243	975	3022
244	979	3018
245	984	3016
246	988	3013
247	993	3011
248	998	3011
249	1003	3009
250	1007	3006
251	1012	3005
252	1017	3004
253	1022	3002
254	1026	3000
255	1032	3000
256	1036	2997
257	1042	2997
258	1047	2998
259	1052	2996
260	1057	2995
261	1064	2997
262	1068	2995
263	1073	2993
264	1078	2992
265	1083	2990
266	1087	2986
